ref_code,2026-01,2026-02,2026-03,total
127,14342.4,9161.7,29701.9,53206
128,1119186.9,1029324.8,1453560.6,3602072.3
129,2.6,0.9,0.9,4.4
170,,,,0
171,,,,0
182,,,,0
183,21339.3,13276.3,11109.2,45724.8
186,1151.8,1556.8,2916,5624.6
188,1186.9,270.1,16762.7,18219.7
190,24849.2,13005.1,10184.2,48038.5
191,7934.7,12454.1,18969.2,39358
192,56684.3,41736.2,48264,146684.5
194,5,4.3,4.7,14
195,3881.8,1670,7611.2,13163
196,,0.2,0.3,0.5
197,33944.8,31463.9,5569.2,70977.9
198,,,,0
200,4.7,1.5,13.4,19.6
202,68.4,77.3,98.1,243.8
204,,4,41.6,45.6
205,,,0.5,0.5
216,,,216.5,216.5
219,,,,0
303,,,,0
555,,,,0
1001,2255,,,2255
1002,1970,2968.3,29183,34121.3
1003,67207.7,52633.8,58463.7,178305.2
1004,228.6,266.4,529.6,1024.6
1007,10082.8,13746.6,15852.1,39681.5
1015,,,,0
1016,4797.8,3365.4,4512.9,12676.1
1017,536.3,350.2,369.5,1256
2000,,,,0
2001,,,,0
2002,,,174513,174513
2003,,,,0
2005,,,17129.9,17129.9
2222,,,,0
,,,,
── untagged ──,,,,
untagged,1558291.2,1509689.9,1745376.5,4813357.6
