ref_code,2026-01,2026-02,2026-03,2026-04,2026-05,total
0,79854.22,65755.52,73160.49,74416.9,75281.45,368468.58
1,124488.83,92700.48,114551.76,110630.03,120842.22,563213.32
2,0,0,0,0,0,0
126,106392.55,114516.89,122957.88,115359.51,118567.8,577794.63
127,3482.42,2847.77,2518.92,1845.23,903.41,11597.75
128,822783.59,833426.1,1200614.86,1323989.36,1462735.31,5643549.22
129,1.03,0.52,0.67,0.77,1.13,4.12
130,266.96,252.94,3701.44,4353.38,3885.67,12460.39
170,0,0,0,0,0,0
171,0,0,0,0,0,0
182,0.01,0.01,0.01,0.01,0.01,0.05
183,21333.38,13278.93,11113.76,9912.97,11847.6,67486.64
186,467.21,638.59,1188.8,1386.57,1241.16,4922.33
188,475.32,108.26,9656.79,14909.91,11718.71,36868.99
190,10427.71,5314.13,4209.1,2912.07,2740.89,25603.9
191,3326.25,5352.96,8218.73,12123.38,23241.91,52263.23
192,22700.54,16725.41,19342.47,15097.77,10576.24,84442.43
194,1.99,1.7,1.88,1.72,1.75,9.04
195,1554.29,669.49,3049.96,1990.3,1235.01,8499.05
196,0.01,0.09,0.1,0.1,0.1,0.4
197,6824.99,6314.15,5576.07,8508.93,10729.88,37954.02
198,0.02,0.02,0.02,0.02,0.02,0.1
200,1.96,0.65,5.79,32.59,91.6,132.59
202,28.54,32.89,42.56,39.75,33.27,177.01
204,,1.61,16.91,34.05,30.45,83.02
205,0,0.02,0.2,0.21,0.21,0.64
206,,,,,0,0
214,,,,,0,0
216,,,86.77,151.21,189.04,427.02
219,,,,14.26,,14.26
223,,,,,0,0
224,,,,,4582.17,4582.17
303,0,0,0,0,0,0
555,0,0,0,0,0,0
1001,2171.72,1561.38,1611.23,1391.66,868.97,7604.96
1002,1968.87,2969.94,29194.65,28954.6,33174.52,96262.58
1004,0.01,0,0.01,0.01,0.01,0.04
1007,10082.51,13745.06,15859.43,14112.17,10762.39,64561.56
1015,0,0,0,0,0,0
1016,1201.05,167.54,8.98,0.59,0,1378.16
1017,215.45,140.34,148.1,85.99,3.52,593.4
2000,,,,0,0,0
2001,,0,0,82.24,8467.99,8550.23
2002,,,174574.28,116737.37,0,291311.65
2003,,,,0,0,0
2005,,,17144.97,8259.88,,25404.85
2008,,,,,12035.78,12035.78
2222,,,,10.68,14.75,25.43
3000,,,,0,0,0
3001,,,,,0,0
3333,0.71,0.41,0.48,0.49,0.48,2.57
4011,,,,,0.01,0.01
4012,,,,,0,0
9998,0,0,0,0,0,0
13425,858.01,774.97,858.01,641.16,9.67,3141.82
,,,,,,
── untagged ──,,,,,,
99,1417549.48,1285231.35,1513204.59,1445734.27,1598658.68,7260378.37
123623963915635,0,0,0.01,0,0.01,0.02
90000000000000000000,0.06,0.01,0,0,0,0.07
